Plant,Style_CD,Activity,SAH,Pack_Unit,Pack_Qty,Size,Operation_code
95,G31EBX,SEW,0.2574,X,1,8,60500
95,G31EBZ,SEW,0.27792,X,1,10,60500
95,G31EBZ,SEW,0.27792,X,1,16,60500
95,G31ECB,SEW,0.27792,X,1,10,60500
95,G31ECB,SEW,0.27792,X,1,14,60500
95,G31EEL,SEW,0.27792,X,1,14,60500
95,G31EEM,SEW,0.27792,X,1,14,60500
95,G31EEM,SEW,0.2574,X,1,4,60500
95,G31EEM,SEW,0.2574,X,1,6,60500
95,G31EEN,SEW,0.2574,X,1,8,60500
95,G31EES,SEW,0.27792,X,1,10,60500
95,G31EET,SEW,0.2574,X,1,8,60500
95,G31EEV,SEW,0.27792,X,1,14,60500
95,G31ETA,SEW,0.27792,X,1,10,60500
95,G31ETB,SEW,0.2574,X,1,4,60500
95,G31ETE,SEW,0.27792,X,1,12,60500
95,G31ETF,SEW,0.27792,X,1,16,60500
95,G31ETG,SEW,0.27792,X,1,16,60500
95,G31ETG,SEW,0.2574,X,1,6,60500
95,G31ETH,SEW,0.27792,X,1,10,60500
95,G31ETI,SEW,0.27792,X,1,12,60500
95,G31ETK,SEW,0.27792,X,1,10,60500
95,G31ETL,SEW,0.2574,X,1,6,60500
95,G31ETM,SEW,0.27792,X,1,10,60500
95,G31ETM,SEW,0.27792,X,1,12,60500
95,G31ETN,SEW,0.2574,X,1,6,60500
95,G31ETO,SEW,0.27792,X,1,14,60500
95,G31ETP,SEW,0.27792,X,1,16,60500
95,G31ETP,SEW,0.2574,X,1,4,60500
95,G31ETP,SEW,0.2574,X,1,8,60500
95,G31ETQ,SEW,0.27792,X,1,10,60500
95,G31ETR,SEW,0.27792,X,1,12,60500
95,G31ETR,SEW,0.2574,X,1,8,60500
95,540D09,VAP,0.2908,5,5,9,60900
95,PHP820,VAP,0.1513,1,1,423D,60900
95,E491,SEW,0.28212,X,1,5,60500
95,PHAU37,VAP,0.1493,1,1,34B,60900
95,PHAU37,VAP,0.1493,1,1,36D,60900
95,NBAU37,SEW,2.7636,X,1,34A,60500
95,NBAU37,SEW,2.7636,X,1,34B,60500
95,NBAUB7,SEW,2.7636,X,1,34A,60500
95,NBAUB7,SEW,2.7636,X,1,36A,60500
95,NBAUB7,SEW,2.7636,X,1,34D,60500
95,NBAUB7,SEW,2.7636,X,1,38D,60500
95,NBAU2B,SEW,3.9606,X,1,34D,60500
95,NBAU2B,SEW,3.9606,X,1,38D,60500
95,P3LC04,VAP,0.3822,6,6,6,60900
95,P3LC04,VAP,0.3822,6,6,9,60900
95,E491AT,SEW,0.30324,X,1,9,60500
95,E491AU,SEW,0.28212,X,1,6,60500
96,ABSH,SEW,0.4302,X,1,S,60500
